ts_id,cluster,transform,model,fold,auto_params,sMAPE,MASE,RMSE
T806,1,diff,AutoTheta,2,STM,2.811478598160686,1.3537495718627395,583.3869927199837
T806,1,diff,AutoETS,2,"ETS(A,N,N)",1.5586449056096254,0.7446276882756796,331.60341287075613
T806,1,diff,AutoARIMA,2,"ARIMA(2, 2, 0, 1, 7, 0, 0)",1.5610844779698114,0.7456436230720972,319.9815721799633
T818,1,diff,Naive,2,fitted,8.282679705401854,0.5704929707259248,295.5094281792989
T818,1,diff,SeasonalNaive,2,fitted,2.320337036655065,0.1641044200509622,81.5142362675729
T818,1,diff,AutoTheta,2,OTM,5.249841662961143,0.36935376510468443,196.06060961704432
T818,1,diff,AutoETS,2,"ETS(A,N,N)",8.453851307150222,0.5816072213787624,301.0402126727641
T818,1,diff,AutoARIMA,2,"ARIMA(0, 0, 0, 0, 1, 0, 0)",6.954310402982163,0.4833907560611825,252.34721969087403
T832,1,diff,Naive,2,fitted,5.908167091321586,2.8896037836836825,912.0409506783632
T832,1,diff,SeasonalNaive,2,fitted,2.637844483659196,1.229957650262755,355.22705314448297
T832,1,diff,AutoTheta,2,DOTM,1.5410153273609613,0.7256906876294466,219.3121730100304
T832,1,diff,AutoETS,2,"ETS(A,N,N)",1.5325757430352378,0.7207083764697125,235.39977827505277
T832,1,diff,AutoARIMA,2,"ARIMA(0, 0, 0, 0, 1, 0, 0)",1.611381412839185,0.7573169454552411,241.12733891333892
T85,1,diff,Naive,2,fitted,7.125798717218963,0.7881673052425983,496.05704237085064
T85,1,diff,SeasonalNaive,2,fitted,10.235785370323152,1.1135801179390759,683.974382874513
T85,1,diff,AutoTheta,2,DOTM,9.827681641062094,1.0683638835014113,671.1038548069073
T85,1,diff,AutoETS,2,"ETS(A,N,N)",0.5950536806005766,0.06883508175119012,49.2535540848458
T85,1,diff,AutoARIMA,2,"ARIMA(0, 0, 0, 0, 1, 0, 0)",0.9996508145557594,0.1163451762808084,67.91737627441151
T870,1,diff,Naive,2,fitted,11.556359684296092,2.5041754675184196,399.10005906145557
T870,1,diff,SeasonalNaive,2,fitted,6.53427065332047,1.3625675647828568,215.81385332205713
T870,1,diff,AutoTheta,2,DOTM,5.558249869612547,1.1518733110592312,187.88174821416618
T870,1,diff,AutoETS,2,"ETS(A,N,N)",2.3714643333057195,0.4784383234633881,80.11294491148325
T870,1,diff,AutoARIMA,2,"ARIMA(0, 0, 0, 0, 1, 0, 0)",2.4910337292596445,0.5031325021894802,80.65103400275972
T959,1,diff,Naive,2,fitted,5.584231198083796,1.8923228349425103,73.8040683644383
T959,1,diff,SeasonalNaive,2,fitted,1.6794142915382257,0.5458402956834231,19.837076217455653
T959,1,diff,AutoTheta,2,OTM,1.6640194620652242,0.5416887665348636,19.09889727968543
T959,1,diff,AutoETS,2,"ETS(A,N,N)",1.7077643459688527,0.5558827258157509,19.370313784111115
T959,1,diff,AutoARIMA,2,"ARIMA(0, 0, 0, 0, 1, 0, 0)",1.7752822904141203,0.5777580184993802,19.869019675292122
T961,1,diff,Naive,2,fitted,5.585532702105021,1.8758676201632039,72.85073153863492
T961,1,diff,SeasonalNaive,2,fitted,1.6687375378221225,0.5374788564395178,19.752347419267082
T961,1,diff,AutoTheta,2,OTM,1.709811252874626,0.5515737329968812,19.12983729444997
T961,1,diff,AutoETS,2,"ETS(A,N,N)",1.7134230654814266,0.5527343549433031,19.153988667742187
T961,1,diff,AutoARIMA,2,"ARIMA(0, 0, 0, 0, 1, 0, 0)",1.7753096444995529,0.5726045024747979,19.608579936927008
